country	region	latency
0	0	1760
0	1	283
0	2	135
0	3	857
0	4	1212
0	5	1636
0	6	1901
0	7	804
0	8	1175
0	9	723
0	10	1775
0	11	1762
0	12	1074
0	13	197
0	14	633
0	15	1879
0	16	408
0	17	230
0	18	1011
0	19	711
0	20	1141
0	21	604
0	22	953
0	23	1041
0	24	146
0	25	709
0	26	1191
0	27	1250
0	28	1531
0	29	600
0	30	112
0	31	424
0	32	1115
0	33	36
0	34	1574
0	35	1111
0	36	1054
0	37	409
0	38	349
0	39	1924
0	40	1497
0	41	930
0	42	1300
0	43	572
0	44	1039
0	45	815
0	46	330
0	47	1193
0	48	805
0	49	727
0	50	317
0	51	649
0	52	1230
0	53	1046
0	54	64
0	55	1532
0	56	577
0	57	1994
0	58	1936
0	59	1515
0	60	1648
0	61	166
0	62	850
0	63	509
0	64	318
0	65	1878
0	66	242
0	67	388
0	68	1148
0	69	1094
0	70	1812
0	71	378
0	72	1739
0	73	1554
0	74	1030
0	75	1556
0	76	107
0	77	1069
0	78	115
0	79	1968
0	80	1471
0	81	1644
0	82	879
0	83	1852
0	84	1504
0	85	1679
0	86	251
0	87	1667
0	88	1198
0	89	997
0	90	1030
0	91	1030
0	92	616
0	93	193
0	94	1970
0	95	1900
0	96	5050
0	97	2910
0	98	2610
0	99	9230
0	100	7400
0	101	9760
0	102	8105
0	103	6680
0	104	8460
0	105	4875
0	106	800
0	107	100
0	108	2435
0	109	2400
0	110	4575
0	111	345
0	112	6225
0	113	7925
0	114	5070
0	115	1035
0	116	4150
0	117	9610
0	118	8905
0	119	1460
0	120	8880
0	121	3305
0	122	65
0	123	9835
0	124	6275
0	125	2735
0	126	8000
0	127	9545
0	128	9710
0	129	5720
0	130	9505
0	131	6795
0	132	2155
0	133	2455
0	134	420
0	135	3495
0	136	2670
0	137	2235
0	138	1940
0	139	6785
0	140	9025
0	141	4250
0	142	1085
0	143	3830
0	144	3110
0	145	9705
0	146	4660
0	147	3500
0	148	7715
0	149	8850
0	150	5060
0	151	9250
0	152	5445
0	153	6280
0	154	180
0	155	8875
0	156	4500
0	157	180
0	158	2705
0	159	3360
0	160	7080
0	161	7100
0	162	1200
0	163	5125
0	164	3445
0	165	840
0	166	4440
0	167	5705
0	168	6075
0	169	6490
0	170	5335
0	171	2190
0	172	7775
0	173	7680
0	174	3520
0	175	1755
0	176	4020
0	177	5795
0	178	4065
0	179	9630
0	180	4390
0	181	5770
0	182	9870
0	183	10230
0	184	9390
0	185	18940
0	186	6460
0	187	16210
0	188	15700
0	189	4470
0	190	8460
0	191	19650
0	192	7210
0	193	14540
0	194	18660
0	195	18720
0	196	11620
0	197	13290
0	198	12420
0	199	14500
0	200	4840
0	201	13090
0	202	14390
0	203	5570
0	204	19470
0	205	11830
0	206	14710
0	207	17790
0	208	4370
0	209	18680
0	210	16720
0	211	4070
0	212	620
0	213	4490
0	214	2570
0	215	7320
0	216	13670
0	217	17560
0	218	4590
0	219	17480
0	220	7120
0	221	9250
0	222	1960
0	223	10840
0	224	4320
0	225	10120
0	226	14470
0	227	12910
0	228	1000
0	229	6390
0	230	10300
0	231	18720
0	232	17650
0	233	14020
0	234	17600
0	235	10770
0	236	15530
0	237	13480
0	238	11300
0	239	9240
0	240	10950
0	241	17910
0	242	15560
0	243	8430
0	244	8540
